type,x,y,width,height,texture
wall,0,-5,1000,10,#361a00
wall,995,0,10,600,#361a00
wall,0,595,1000,10,#361a00
wall,-5,0,10,600,#361a00
wall,820,5,10,100,#361a00
wall,880,5,10,50,#361a00
wall,820,155,180,10,#361a00
wall,661,5,10,200,#361a00
wall,538,270,462,10,#361a00
wall,528,139,10,200,#361a00
wall,528,410,100,10,#361a00
wall,628,410,10,190,#361a00
wall,638,472,100,10,#361a00
wall,825,472,175,10,#361a00
wall,825,340,10,132,#361a00
wall,124,84,10,450,#361a00
wall,134,410,300,10,#361a00
wall,319,420,10,180,#361a00
item,903,426,40,40,file:src/resources/textures/items/Key.png
item,52,234,40,40,file:src/resources/textures/items/Key.png
item,279,420,40,40,file:src/resources/textures/items/Key.png
door,830,5,50,50,file:src/resources/textures/items/door.png
ghost,267,548,50,50,
ghost,600,26,50,50,
ghost,925,517,50,50,
