type,x,y,width,height
wall,0,-5,1000,10
wall,995,0,10,600
wall,0,595,1000,10
wall,-5,0,10,600
wall,110,100,290,10
wall,100,100,10,200
wall,100,300,120,10
wall,280,300,130,10
wall,400,100,10,200
wall,200,110,10,130
wall,495,6,10,200
wall,410,206,190,10
wall,100,400,10,195
wall,110,400,300,10
wall,400,410,10,130
wall,198,410,10,130
wall,600,100,10,400
wall,610,300,200,10
wall,660,310,10,50
wall,810,6,10,150
wall,810,220,185,10
wall,710,460,10,135
wall,720,460,230,10
door,610,310,50,50
key,136,124,40,40
key,436,121,40,40
key,135,429,40,40
key,535,158,40,40
key,826,558,40,40
vacuum,935,5,60,60
ghost,875,34,50,50
ghost,32,528,50,50
ghost,25,25,50,50
