type,x,y,width,height,texture
wall,0,-5,1000,10,#361a00
wall,995,0,10,600,#361a00
wall,0,595,1000,10,#361a00
wall,-5,0,10,600,#361a00
wall,195,318,400,10,#361a00
wall,595,5,10,513,#361a00
wall,356,218,40,100,#361a00
wall,535,328,10,50,#361a00
wall,91,5,10,200,#361a00
wall,5,438,400,10,#361a00
wall,605,114,200,10,#361a00
wall,700,318,200,10,#361a00
item,20,100,40,40,file:src/resources/textures/items/Key.png
item,635,35,40,40,file:src/resources/textures/items/Key.png
door,545,328,50,50,file:src/resources/textures/items/Door.png
ghost,34,26,50,50,
ghost,43,489,50,50,
ghost,630,157,50,50,
ghost,927,534,50,50,
ghost,537,38,50,50,
