type,x,y,width,height
wall,0,-5,1000,10
wall,995,0,10,600
wall,0,595,1000,10
wall,-5,0,10,600
wall,300,180,10,100
wall,300,180,300,10
wall,600,180,10,380
wall,360,189,10,51
wall,83,340,517,10
wall,766,5,10,500
wall,610,228,100,10
wall,610,479,80,10
wall,680,479,10,116
wall,847,310,100,10
wall,847,320,10,100
wall,847,420,150,10
wall,866,68,130,10
wall,776,120,140,10
wall,916,120,10,50
wall,857,209,140,10
key,627,500,40,40
key,946,15,40,40
key,860,381,40,40
vacuum,776,5,40,40
door,310,190,50,50
ghost,29,28,50,50
ghost,550,368,50,50
