type,x,y,width,height
wall,0,-5,1000,10
wall,995,0,10,600
wall,0,595,1000,10
wall,-5,0,10,600
wall,875,55,10,540
wall,935,5,10,540
wall,710,130,115,10
wall,710,140,10,175
wall,710,315,165,10
wall,450,220,100,10
wall,440,220,10,100
wall,550,220,10,100
wall,330,370,520,10
wall,650,140,10,230
wall,270,270,170,10
wall,260,140,10,290
wall,140,130,520,10
wall,345,140,10,80
wall,260,430,340,10
wall,650,430,10,165
wall,710,430,165,10
wall,710,440,10,95
wall,710,535,115,10
wall,260,490,340,10
wall,590,500,10,95
wall,260,500,10,50
wall,260,550,280,10
wall,200,190,10,405
wall,140,190,10,190
wall,150,370,50,10
wall,80,130,10,300
wall,80,430,120,10
wall,5,515,150,10
wall,440,5,10,125
wall,140,57,250,10
wall,380,67,10,63
wall,500,55,375,10
door,945,5,50,50
key,285,155,40,40
key,830,550,40,40
key,275,505,40,40
key,155,385,40,40
key,10,540,40,40
key,395,86,40,40
vacuum,720,441,60,60
ghost,770,150,50,50
ghost,740,465,50,50
ghost,10,455,50,50
