type,x,y,width,height
wall,0,-5,1000,10
wall,995,0,10,600
wall,0,595,1000,10
wall,-5,0,10,600
wall,150,50,10,300
wall,150,400,10,150
wall,150,50,800,10
wall,150,550,800,10
wall,300,60,10,190
wall,300,300,10,200
wall,550,60,10,490
wall,490,60,10,50
wall,700,60,10,200
wall,700,300,10,200
wall,160,200,90,10
wall,400,200,150,10
wall,160,400,140,10
wall,400,400,150,10
wall,200,100,100,10
wall,600,100,100,10
wall,200,500,110,10
wall,600,500,110,10
wall,880,110,10,390
door,500,60,50,50
key,250,420,40,40
key,255,60,40,40
key,660,60,40,40
vacuum,495,0,60,60
vacuum,495,547,60,60
ghost,500,480,50,50
ghost,870,60,50,50
ghost,870,500,50,50
ghost,40,40,50,50
ghost,40,530,50,50
