type,x,y,width,height,texture
wall,0,-5,1000,10,#361a00
wall,995,0,10,600,#361a00
wall,0,595,1000,10,#361a00
wall,-5,0,10,600,#361a00
wall,90,90,150,10,#361a00
wall,150,100,10,50,#361a00
wall,240,90,10,400,#361a00
wall,250,90,200,10,#361a00
wall,5,490,975,10,#361a00
wall,90,100,10,300,#361a00
wall,970,36,10,454,#361a00
wall,250,300,300,10,#361a00
wall,610,300,100,10,#361a00
wall,550,90,10,220,#361a00
wall,560,170,200,10,#361a00
wall,760,170,10,270,#361a00
wall,760,5,10,100,#361a00
wall,380,360,10,80,#361a00
item,36,530,40,40,file:src/resources/textures/items/Key.png
item,640,260,40,40,file:src/resources/textures/items/Key.png
item,340,380,40,40,file:src/resources/textures/items/Key.png
door,100,100,50,50,file:src/resources/textures/items/Door.png
ghost,205,545,50,50,
ghost,785,21,50,50,
ghost,650,407,50,50,
